File Name,Duplicate
807954,False
802737,False
802736,False
802741,False
802771,False
802439,False
802776,False
805045,False
805051,False
807085,False
802299,False
802385,False
802391,False
802392,False
802820,False
802833,False
802834,False
802846,False
805344,False
807079,False
807086,False
807087,False
807088,False
807089,False
807090,False
807092,False
807093,False
807125,False
807216,False
807217,False
807265,False
807129,False
807218,False
807235,False
807261,False
802741,True
802935,False
802938,False
802939,False
802946,False
802949,False
807262,False
807447,False
807846,False
807847,False
807976,False
804087,False
822405,False
822406,False
822483,False
806603,False
802369,False
802572,False
802816,False
802852,False
802866,False
803361,False
804595,False
805021,False
812080,False
812082,False
812234,False
808559,False
812076,False
812235,False
812236,False
812238,False
812237,False
812240,False
812239,False
807050,False
807051,False
807211,False
807254,False
807053,False
802370,False
807054,False
807211,True
808124,False
808076,False
808338,False
802360,False
802801,False
805396,False
805379,False
805422,False
812588,False
812586,False
812587,False
805396,True
805379,True
805422,True
812588,True
812586,True
812587,True
807073,False
808659,False
802098,False
802360,True
802803,False
802804,False
802838,False
802047,False
802048,False
802843,False
802844,False
802855,False
805194,False
805210,False
805246,False
805320,False
805361,False
805368,False
805406,False
802360,True
802801,True
807022,False
807023,False
807077,False
807078,False
807024,False
807034,False
807038,False
807031,False
807032,False
807062,False
807063,False
807068,False
805166,False
807067,False
807368,False
807369,False
823504,False
807072,False
802022,False
805166,True
807067,True
807368,True
807369,True
807075,False
807081,False
807228,False
807266,False
802053,False
802054,False
807270,False
802827,False
805287,False
805288,False
807269,False
807271,False
813155,False
808067,False
808065,False
808066,False
813411,False
813412,False
813413,False
813423,False
823033,False
823030,False
823031,False
823032,False
823034,False
823035,False
823043,False
813415,False
823044,False
823045,False
823046,False
813184,False
823047,False
823268,False
802360,True
802801,True
823637,False
811179,False
823042,False
823285,False
823636,False
829831,False
808960,False
807970,False
802441,False
807971,False
811337,False
811340,False
811449,False
802827,True
805286,False
805287,True
805288,True
813155,True
802022,True
803603,False
805024,False
805025,False
805320,True
805361,True
805398,False
807016,False
807022,True
807023,True
807077,True
807078,True
807024,True
807025,False
807026,False
807030,False
807031,True
807032,True
807033,False
807034,True
807061,False
807064,False
807267,False
807268,False
807272,False
807278,False
807644,False
807740,False
807842,False
807848,False
808375,False
808383,False
808384,False
808391,False
808393,False
808556,False
807028,False
808603,False
801263,False
805048,False
805034,False
805039,False
805040,False
805066,False
805412,False
807800,False
805064,False
805365,False
805031,False
805255,False
805367,False
807798,False
807801,False
805064,True
807796,False
813723,False
805031,True
805255,True
805367,True
822456,False
801294,False
805148,False
807797,False
808362,False
822457,False
801070,False
801292,False
813389,False
813382,False
813383,False
801081,False
801282,False
801286,False
801287,False
801289,False
801303,False
801304,False
801375,False
801291,False
801295,False
807026,True
822454,False
822458,False
822459,False
822460,False
822461,False
822462,False
822455,False
822463,False
822464,False
822466,False
822467,False
822589,False
822470,False
822471,False
822473,False
822482,False
822583,False
801304,True
822584,False
829806,False
829806,True
822468,False
801293,False
805148,True
807799,False
808363,False
822469,False
801070,True
801290,False
813389,True
813382,True
813383,True
801081,True
801282,True
801286,True
801287,True
801288,False
801303,True
801304,True
801375,True
801291,True
801295,True
807026,True
822454,True
822458,True
822459,True
822460,True
822461,True
822462,True
822455,True
822463,True
822464,True
822466,True
822467,True
822589,True
822470,True
822471,True
822474,False
822473,True
822482,True
822583,True
801304,True
822584,True
829806,True
829806,True
809161,False
812135,False
812557,False
812476,False
812452,False
812453,False
812455,False
812482,False
812488,False
812483,False
813186,False
813187,False
813429,False
813430,False
813402,False
813403,False
813404,False
813405,False
813406,False
813407,False
813408,False
813420,False
813421,False
813422,False
823001,False
813409,False
813419,False
823055,False
813423,True
813432,False
813437,False
822759,False
823048,False
813415,True
823047,True
823125,False
823030,True
823031,True
823032,True
823126,False
823451,False
824089,False
823496,False
824086,False
824091,False
825594,False
807255,False
807489,False
809151,False
808629,False
809045,False
809046,False
809152,False
813427,False
813817,False
825327,False
825406,False
825595,False
807255,True
807489,True
809151,True
808629,True
809045,True
809046,True
809152,True
813424,False
813817,True
825325,False
825326,False
812460,False
812461,False
812490,False
802043,False
802044,False
802863,False
802877,False
802878,False
807044,False
807045,False
807046,False
807047,False
807161,False
809399,False
809401,False
809402,False
809517,False
802669,False
802008,False
802667,False
802656,False
802666,False
802668,False
802656,True
802666,True
809506,False
809507,False
809508,False
809509,False
809500,False
809501,False
809502,False
809503,False
809504,False
809505,False
811233,False
811235,False
812555,False
802842,False
807203,False
807207,False
812556,False
813907,False
822159,False
808557,False
808558,False
809049,False
813975,False
822155,False
822156,False
822157,False
809055,False
809423,False
822158,False
822194,False
809258,False
822193,False
802779,False
822192,False
823091,False
808638,False
823146,False
802879,False
811209,False
822813,False
823139,False
823145,False
823147,False
828985,False
823709,False
823711,False
823699,False
823700,False
823714,False
823712,False
823700,True
823715,False
823713,False
802778,False
823699,True
823700,True
823701,False
823716,False
823710,False
823717,False
802778,True
823699,True
823700,True
823701,True
823718,False
823719,False
823700,True
823720,False
823721,False
823699,True
823700,True
823722,False
